thrL   189 254 cw
thrA   336 2798 cw
thrB   2800 3732 cw
thrC   3733 5019 cw
yaaX   5233 5529 cw
yaaA   5682 6458 ccw
yaaJ   6528 7958 ccw
talB   8237 9190 cw
mog    9305 9892 cw
yaaH   9927 10493 ccw
yaaW   10642 11355 ccw
yaaI   11381 11785 ccw
dnaK   12162 14078 cw
dnaJ   14167 15297 cw
insL   15444 16556 cw
mokC   16750 16959 ccw
hokC   16750 16902 ccw
nhaA   17488 18654 cw
nhaR   18714 19619 cw
insB   19810 20313 ccw
insA   20232 20507 ccw
rpsT   20814 21077 ccw
yaaY   21180 21398 cw
ribF   21406 22347 cw
ileS   22390 25206 cw
lspA   25206 25700 cw
fkpB   25825 26274 cw
ispH   26276 27226 cw
rihC   27292 28206 cw
dapB   28373 29194 cw
carA   29650 30798 cw
carB   30816 34037 cw
caiF   34299 34694 cw
caiE   34780 35370 ccw
caiD   35376 36161 ccw
caiC   36270 37823 ccw
caiB   37897 39114 ccw
caiA   39243 40385 ccw
caiT   40416 41930 ccw
fixA   42402 43172 cw
fixB   43187 44128 cw
fixC   44179 45465 cw
fixX   45462 45749 cw
yaaU   45806 47137 cw
kefF   47245 47775 cw
kefC   47768 49630 cw
folA   49822 50301 cw
apaH   50379 51221 ccw
apaG   51228 51605 ccw
rsmA   51608 52429 ccw
pdxA   52426 53415 ccw
surA   53415 54701 ccw
lptD   54754 57108 ccw
djlA   57363 58178 cw
yabP   58473 59268 cw
rluA   59686 60345 ccw
rapA   60357 63263 ccw
polB   63428 65779 ccw
araD   65854 66549 ccw
araA   66834 68336 ccw
araB   68347 70047 ccw
araC   70386 71264 cw
yabI   71350 72114 cw
thiQ   72228 72926 ccw
thiP   72910 74520 ccw
thiB   74496 75479 ccw
sgrR   75643 77298 ccw
sgrT   77387 77518 cw
setA   77620 78798 cw
leuD   78847 79452 ccw
leuC   79463 80863 ccw
leuB   80866 81957 ccw
leuA   81957 83528 ccw
leuL   83621 83707 ccw
leuO   84367 85311 cw
ilvI   85629 87353 cw
ilvH   87356 87847 cw
cra    88027 89031 cw
mraZ   89633 90091 cw
rsmH   90093 91034 cw
ftsL   91031 91396 cw
ftsI   91412 93178 cw
murE   93165 94652 cw
murF   94649 96007 cw
mraY   96001 97083 cw
murD   97086 98402 cw
ftsW   98402 99646 cw
murG   99643 100710 cw
murC   100764 102239 cw
