gapdH  1 1020 cw
fdhD   4578 5390 ccw
fdxH   8749 9687 cw
fdxI   9680 10396 cw
fdhE   10466 11374 cw
rimI   11413 11853 ccw
holD   11856 12260 ccw
rsmC   12366 13358 cw
era    13422 14330 ccw
rnc    14327 15010 ccw
lepB   15012 16061 ccw
lepA   16070 17866 ccw
ung    18675 19334 cw
citG   22688 23938 ccw
citF   24266 25768 ccw
citE   25783 26640 ccw
citD   26655 26942 ccw
citC   26980 27987 ccw
lipA   28238 29200 ccw
lipB   29254 29892 ccw
dacA   30228 31409 ccw
rodA   32340 33455 ccw
pbp2   33445 35400 ccw
mreB   40144 41199 cw
mreC   41279 42334 cw
mreD   42334 42822 cw
xthA   43659 44462 ccw
phnA   47954 48280 cw
eda    48333 48971 ccw
kdgK   49847 50791 ccw
uxuR   54829 55578 cw
uxuA   55606 56790 cw
uvrC   57654 59483 ccw
kdsB   59485 60249 ccw
lpxK   60320 61318 ccw
msbA   61391 63154 ccw
rec2   63195 65561 ccw
dksA   65820 66257 cw
pcnB   66505 67863 cw
folK   67872 68354 cw
yjeE   68430 68906 cw
mutL   70213 72102 cw
miaA   72110 73045 cw
glnE   73051 75996 cw
recN   76081 77757 ccw
ppnK   77901 78686 ccw
grpE   78762 79454 cw
nrdD   80525 82648 cw
tesB   82766 83626 cw
cysS   84579 85958 ccw
ppiB   86061 86570 cw
trxM   88738 89061 ccw
ldhA   89181 90176 ccw
metB   90189 91334 ccw
thrC   92147 93424 ccw
thrB   93467 94411 ccw
thrA   94424 96871 ccw
hitA   104276 105273 cw
hitB   105475 106911 cw
hitC   106913 107968 cw
dapE   108684 109817 ccw
htpG   110268 112163 ccw
ffh    113276 114664 ccw
serS   117826 119115 cw
bphH   119450 120079 cw
hemR   120440 122674 cw
mltA   132026 132958 cw
znuA   133906 134919 cw
metC   137334 138524 ccw
pgsA   138799 139356 cw
ppa    139923 140453 ccw
fbpC   142162 143148 ccw
afuB   143192 145090 ccw
afuA   145394 146434 ccw
udk    146600 147241 cw
dcd    147250 147837 cw
engA   150286 151800 ccw
dnaQ   152491 153261 ccw
rnhA   153322 153786 cw
ompP2  154038 155117 cw
nagA   155306 156451 ccw
nagB   156724 157536 ccw
nanA   157822 158703 ccw
hflC   166399 167286 ccw
hflK   167286 168518 ccw
acpP   170929 171159 ccw
fabG   171415 172143 ccw
fabD   172160 173098 ccw
fabH   173726 174676 ccw
rpmF   174862 175032 ccw
psd    175736 176608 cw
gor    176717 178087 ccw
bolA   178996 179307 cw
nqrB   180944 182179 cw
nqr6   184145 185380 cw
mnmA   186839 188095 cw
rluD   188875 189849 ccw
pflA   191339 192079 ccw
adhC   199473 200609 ccw
tatA   201357 201626 cw
tatB   201590 202150 cw
gdhA   203290 204639 cw
fur    204747 205187 ccw
fldA   205216 205740 ccw
seqA   206690 207283 cw
menE   207286 208644 cw
aroC   212016 213089 cw
mepA   213174 214034 cw
msbB   214866 215822 cw
selD   215880 216920 cw
rplS   217029 217379 ccw
trmD   217416 218156 ccw
rimM   218194 218721 ccw
rpsP   218766 219014 ccw
aroK   222199 222741 cw
aroB   222761 223849 cw
dam    223851 224711 cw
pgpB   225813 226538 ccw
ribA   226607 227257 cw
prlC   229602 231641 cw
hsdS   233476 234633 cw
birA   247909 248817 ccw
guaB   248947 250413 cw
guaA   251124 252695 cw
nhaA   254271 255473 ccw
brnQ   255661 256971 cw
pnp    258295 260424 cw
deaD   261571 263412 cw
secF   267492 268469 ccw
secD   268477 270327 ccw
yajC   270397 270690 ccw
tgt    271599 272747 ccw
queA   273091 274182 ccw
uvrA   279438 282269 ccw
ssb    282423 282929 cw
exbD   283929 284372 ccw
exbB   284376 284828 ccw
bcp    284997 285464 ccw
dapA   285565 286461 cw
hxuB   294524 296221 cw
hxuA   296233 298950 cw
narQ   300126 301829 cw
murB   301839 302864 cw
rpoH   302990 303835 cw
djlA   304807 305673 ccw
pyrE   305752 306393 ccw
rph    306417 307133 ccw
gltX   307434 308876 ccw
rbn    311301 312110 ccw
udp    313494 314252 cw
menD   316653 318359 ccw
menF   318375 319667 ccw
mtr    321134 322390 cw
sdaA   322499 323866 ccw
sdaC   323901 325139 ccw
merP   327786 327992 ccw
metJ   328469 328786 ccw
rho    329033 330295 cw
hopD   330349 331041 ccw
ampD   334211 334765 cw
lnt    336320 337849 cw
rdgC   339662 340570 ccw
proC   340636 341451 cw
xerD   342648 343541 cw
ruvB   344053 345060 ccw
ruvA   345068 345682 ccw
ruvC   345745 346317 ccw
ntpA   347264 347728 ccw
aspS   347762 349528 ccw
yecO   350318 351043 cw
vapB   351137 351373 cw
gloA   351841 352248 cw
rnt    352322 353011 cw
efp    355647 356213 ccw
oapA   357366 358661 cw
oapB   358721 359125 cw
recO   359128 359838 cw
rumA   359838 361154 cw
relA   361232 363463 cw
dgkA   363478 363834 cw
mogA   363917 364510 cw
glnB   364512 364850 cw
priA   365937 368129 ccw
trmB   368212 368952 cw
napD   370109 370390 cw
napG   372966 373805 cw
napH   373805 374668 cw
napB   374665 375117 cw
napC   375132 375734 cw
adk    375894 376538 ccw
galE   378042 379058 ccw
yfeD   383821 384636 ccw
yfeC   384629 385477 ccw
yfeB   385481 386401 ccw
yfeA   386401 387282 ccw
ispG   391557 392663 cw
hisS   392673 393944 cw
fdx-1  394820 395161 ccw
hscA   395201 397060 ccw
hscB   397816 398340 ccw
iscU   398733 399149 ccw
nifS   399173 400387 ccw
pal    402126 402587 ccw
tolB   402611 403894 ccw
tolA   403936 405054 ccw
tolR   405070 405489 ccw
tolQ   405561 406247 ccw
dinG   406999 408921 cw
fadD   410263 411951 cw
rnd    411951 413150 cw
pth    416290 416874 ccw
xseA   418568 419887 cw
icc    420727 421551 cw
fadL   422143 423522 cw
mutH   424135 424806 cw
mesJ   424803 426095 ccw
accA   427034 427981 ccw
yebM   428856 429662 ccw
tyrR   431376 432332 cw
hfq    432429 432704 ccw
rne    434184 436991 cw
thiD   438549 439358 cw
thiE   439369 440049 cw
srmB   444028 445347 ccw
pssA   447350 448717 cw
fadR   448762 449487 ccw
nhaB   449612 451156 cw
dsbB   451166 451699 cw
glmS   451753 453585 ccw
nudC   454735 455529 ccw
comF   456268 456957 ccw
comE   456966 458303 ccw
comD   458313 458726 ccw
comC   458723 459244 ccw
comB   459241 459747 ccw
comA   459748 460545 ccw
ponA   460644 463238 cw
ybaB   464324 464653 cw
recR   464715 465317 cw
topB   465333 467288 cw
secG   467397 467735 cw
fruA   468264 469934 ccw
fruK   469936 470877 ccw
fruB   470879 472378 ccw
vapD   473073 473348 ccw
holB   476357 477340 ccw
tmk    477337 477996 ccw
pyrR   480111 480650 ccw
mazG   480782 481573 cw
lon    482691 485102 cw
rpiA   486502 487161 cw
serA   487191 488423 cw
hisG   490630 491541 cw
hisD   491634 492917 cw
hisC   492986 494089 cw
hisB   494201 495289 cw
hisH   495355 495954 cw
hisA   495990 496739 cw
hisF   496721 497497 cw
hisIE  497497 498162 cw
tyrP   498426 499628 cw
atpC   499814 500242 ccw
atpD   500272 501645 ccw
atpG   501662 502531 ccw
atpA   502547 504088 ccw
atpH   504101 504634 ccw
atpF   504647 505117 ccw
atpE   505167 505421 ccw
atpB   505477 506265 ccw
gidB   506802 507413 ccw
luxS   509451 509954 cw
aphA   510900 511608 ccw
hslV   511827 512354 cw
hslU   512365 513699 cw
potD   513769 514821 ccw
rbsD   518033 518452 cw
rbsA   518466 519947 cw
rbsC   519960 520931 cw
rbsB   520951 521829 cw
rbsK   521927 522847 cw
rbsR   522875 523873 cw
menG   524670 525158 ccw
menA   525210 526121 ccw
hindIIR 528158 528934 ccw
hindIIM 528931 530487 ccw
rpoC   530560 534807 ccw
rpoB   535049 539080 ccw
rplA   539464 540153 ccw
rplK   540158 540586 ccw
deoD   540759 541475 ccw
fba    547185 548264 ccw
pgk    548375 549535 ccw
fdx-2  550533 550793 cw
tyrP   550935 552155 ccw
tdk    552192 552743 ccw
gcp    552782 553810 ccw
rpsU   554042 554257 cw
dnaG   554391 556172 cw
rpoD   556242 558131 cw
aspA   558435 559862 ccw
ureH   560040 560825 ccw
ureG   560900 561577 ccw
ureF   561680 562387 ccw
ureE   562372 562929 ccw
ureC   563057 564775 ccw
ureB   564787 565092 ccw
ureA   565168 565470 ccw
groES  565633 565923 cw
groEL  565946 567592 cw
rplI   567766 568215 ccw
rpsR   568232 568459 ccw
rpsF   568785 569162 ccw
infA   569361 569579 ccw
ksgA   569785 570648 cw
apaH   571716 572543 cw
gnd    573302 574756 ccw
devB   576108 576599 ccw
zwf    576890 578374 ccw
cysQ   578450 579136 ccw
asnC   582371 582823 ccw
asnA   582977 583969 cw
gph    584034 584708 ccw
dod    584754 585428 ccw
gyrB   585575 587995 ccw
tex    588146 590434 ccw
greB   590530 591006 cw
oxyR   591694 592599 ccw
slyX   593535 593756 ccw
fkpA   593854 594579 cw
tuf    596496 597680 ccw
fusA   597745 599847 ccw
rpS7   599931 600401 ccw
rpsL   600558 600932 ccw
gidA   601114 603003 ccw
cpdB   603689 605662 ccw
pepE   608460 609116 ccw
potE   611211 612518 ccw
speF   612623 614785 ccw
arcC   617405 618337 ccw
arcB   618347 619351 ccw
ccrB   620571 621053 cw
recX   620953 621411 ccw
recA   621491 622555 ccw
tfoX   622875 623528 cw
hemY   630345 631631 ccw
hemX   631642 632855 ccw
cyaA   633160 635691 cw
gpsA   635765 636772 cw
cysE   636784 637587 cw
aroE   637597 638412 cw
folD   640074 640922 ccw
fucP   641450 642736 ccw
fucA   642775 643425 ccw
fucU   643445 643879 ccw
fucK   643893 645305 ccw
fucI   645378 647147 ccw
fucR   647374 648123 ccw
hepA   648321 651092 cw
glpR   652389 653156 cw
hlpA   653458 654279 ccw
metN   654998 656035 ccw
def    662608 663117 cw
fmt    663210 664166 cw
sun    664166 665521 cw
trkA   665534 666910 cw
mscL   666983 667369 cw
rpoE   667824 668393 cw
mclA   668418 669005 cw
rseB   669085 670032 cw
coaA   670123 671058 ccw
tuf    671763 672947 cw
trpS   678550 679554 ccw
purB   680323 681693 cw
rplJ   681965 682456 cw
rplL   682511 682882 cw
glmU   683042 684412 cw
bisC   685465 687942 ccw
yecK   687975 689075 ccw
pldB   689230 690171 ccw
asd    690226 691341 ccw
mdaB   692494 693072 ccw
rep    693362 695374 ccw
coaD   695589 696059 ccw
kdtA   696056 697339 ccw
tagI   698163 698720 ccw
aroE   698717 699535 ccw
oapA   703647 706679 ccw
cydD   707164 708909 cw
glpX   712488 713489 ccw
mioC   713966 714406 cw
ispF   715139 715615 ccw
ispD   715612 716289 ccw
ftsB   716289 716567 ccw
gptA   716690 717157 ccw
pepD   717268 718722 cw
xerC   718775 719662 ccw
tpiA   720262 721053 cw
glpE   721136 721453 ccw
ilvY   722363 723241 ccw
ilvC   723918 725396 cw
glpC   725507 726787 ccw
glpB   726799 728097 ccw
glpA   728087 729778 ccw
glpT   730071 731513 cw
glpQ   732945 734039 cw
glpF   734269 735063 cw
glpK   735084 736595 cw
gptB   736670 737137 ccw
hel    737421 738245 cw
slyD   746005 746577 ccw
truD   747227 748246 cw
surE   748256 749005 cw
lppB   749014 749592 cw
mutS   751160 753745 cw
selA   753951 755336 cw
selB   755333 757192 cw
tig    761636 762934 cw
clpP   763057 763638 cw
clpX   763648 764883 cw
secE   765121 765441 cw
nusG   765443 766000 cw
vacJ   766151 766903 cw
htpX   767517 768368 cw
trkH   769388 770851 cw
narP   777974 778600 ccw
lysA   778806 780053 ccw
cyaY   780314 780619 cw
recQ   780621 782480 cw
proS   782565 784283 cw
plsC   788246 788968 ccw
ilvD   792640 794478 cw
ilvA   794558 796099 cw
dnaE   796138 799617 ccw
yhxB   799856 801508 cw
secB   802053 802562 ccw
ansB   803248 804297 cw
dcuB   804453 805775 cw
ndh    805979 807313 cw
lexA   810080 810703 cw
dapF   810847 811671 cw
tpx    811890 812387 ccw
purL   812966 816928 cw
anmK   817100 818248 cw
murQ   818258 819169 cw
dat1   819199 820041 ccw
gpmA   821449 822132 cw
rpmE   822210 822422 ccw
mutY   822599 823735 cw
mltC   824000 825073 cw
nadR   826361 827626 ccw
ribB   827845 828492 cw
yibK   829404 829886 ccw
ftsY   830533 831777 cw
ftsE   831796 832452 cw
ftsX   832462 833394 cw
atoB   833489 834670 ccw
atoE   834685 836028 ccw
atoA   836025 836696 ccw
rpsJ   838749 839060 cw
rplC   839077 839703 cw
rplD   839719 840321 cw
rplW   840318 840617 cw
rplB   840635 841456 cw
rpsS   841482 841757 cw
rplV   841769 842101 cw
rpsC   842119 842826 cw
rplP   842840 843250 cw
rpmC   843250 843441 cw
rpsQ   843441 843698 cw
rplN   844975 845346 cw
rplX   845357 845668 cw
rplE   845797 846225 cw
rpsN   846237 846542 cw
rpsH   846579 846971 cw
rplF   846987 847520 cw
rplR   847534 847887 cw
rpsE   847902 848402 cw
rpmD   848409 848588 cw
rplO   848592 849026 cw
secY   849034 850359 cw
rpmJ   850388 850501 cw
rpsM   850641 851009 cw
rpS11  851012 851401 cw
rpsD   851429 852049 cw
rpoA   852081 853067 cw
rplQ   853108 853494 cw
frr    857309 857866 ccw
pckA   858018 859634 ccw
hslO   859807 860688 ccw
argH   860833 862206 ccw
galU   862341 863228 ccw
csrA   863250 863441 ccw
alaS   863519 866143 ccw
uspA   866331 866756 ccw
pepP   866858 868150 ccw
galM   868881 869903 ccw
galK   869913 871067 ccw
galT   871144 872193 ccw
galR   872401 873399 cw
mglB   873544 874539 cw
mglA   874605 876125 cw
mglC   876142 877152 cw
trpR   881207 881512 cw
mtgA   881499 882239 cw
frdD   882345 882689 ccw
frdC   882702 883112 ccw
frdB   883123 883893 ccw
frdA   883886 885685 ccw
genX   885897 886868 cw
cpxR   887134 887817 ccw
mobA   892797 893375 ccw
por    893739 894356 cw
trmA   894897 895988 cw
mobB   897573 898109 cw
dppA   899638 901287 cw
polA   902723 905515 ccw
clpB   906975 909545 cw
vacB   910378 912726 ccw
pdxH   913818 914450 cw
glnA   916619 918037 cw
siaA   923292 924212 cw
wbaP   924205 925620 cw
rffG   925682 926695 cw
ndk    929408 929833 cw
obgE   929903 931075 ccw
rpmA   932104 932361 ccw
rplU   932382 932693 ccw
ispB   932906 933895 cw
arcA   936510 937220 ccw
dipZ   937412 939151 cw
purH   939855 941453 cw
purD   941549 942838 cw
glyA   942962 944227 cw
coaE   944298 944918 cw
rhlB   945226 946482 cw
acrB   948515 951613 cw
ftsN   952003 952617 cw
emrB   952634 954166 ccw
emrA   954176 955348 ccw
folA   955531 956013 ccw
proB   956114 957220 cw
lgt    958694 959500 cw
thyA   959510 960361 cw
secA   961731 964436 cw
mutT   964501 964911 cw
kefC   965020 966876 cw
rpsB   967919 968641 cw
tsf    968774 969625 cw
lpxD   969805 970830 ccw
cdsA   975292 976158 ccw
leuS   977144 979729 cw
holA   980327 981361 cw
glyS   981596 983662 ccw
glyQ   984713 985621 ccw
hktE   985887 987413 cw
eno    989923 991233 ccw
nrfF   992556 993710 ccw
dsbE   993707 994237 ccw
suhB   996253 997056 ccw
recC   999494 1002859 cw
nrdR   1002914 1003363 cw
ribD   1003366 1004484 cw
degS   1004485 1005507 cw
fpg    1005581 1006396 ccw
vapC   1008184 1008582 ccw
rpmG   1010674 1010844 ccw
rpmB   1010856 1011092 ccw
radC   1011306 1011971 ccw
dfp    1012135 1013337 cw
dut    1013385 1013840 cw
slmA   1013844 1014500 cw
crp    1014759 1015433 cw
rumB   1015798 1016976 ccw
exoII  1016969 1018024 ccw
ribF   1021699 1022637 ccw
mviN   1022672 1024204 ccw
rpsT   1024513 1024776 cw
menB   1025561 1026418 cw
menC   1026451 1027476 cw
aroQ   1027534 1027983 cw
accB   1028136 1028603 cw
accC   1028778 1030124 cw
panF   1033018 1034472 cw
fic    1035465 1036040 cw
prmA   1036081 1036971 cw
fis    1038093 1038392 cw
smpB   1038487 1038972 ccw
pfkA   1039211 1040176 ccw
dprA   1041676 1042797 ccw
leuA   1043354 1044901 cw
leuB   1044987 1046063 cw
leuC   1046239 1047648 cw
leuD   1047672 1048274 cw
iga1   1048388 1053472 ccw
recF   1053714 1054793 ccw
dnaN   1054795 1055895 ccw
dnaA   1055908 1057272 ccw
tbp1   1057464 1060202 ccw
tbp2   1060230 1062107 ccw
rpmH   1063831 1063965 cw
rnpA   1063985 1064344 cw
yidC   1064568 1066193 cw
trmE   1066324 1067709 cw
lspA   1071483 1071998 cw
ispH   1071995 1072939 cw
glpR   1073503 1074273 ccw
gntP   1079001 1080467 cw
tbpA   1082772 1083770 cw
thiP   1083775 1085391 cw
bioB   1086135 1087136 cw
tktA   1087261 1089258 ccw
ulaD   1089387 1090064 ccw
sgbE   1090114 1090809 ccw
lyx    1091677 1093134 ccw
serB   1098171 1099115 cw
corA   1099919 1100866 cw
ureF   1104410 1105414 cw
napF   1108430 1108930 ccw
dmsC   1109653 1110492 ccw
dmsB   1110494 1111111 ccw
dmsA   1111122 1113542 ccw
merT   1114947 1115240 cw
merP   1115249 1115527 cw
rnhB   1124263 1124856 ccw
lpxB   1124849 1126021 ccw
lpxA   1126088 1126876 ccw
fabZ   1126890 1127336 ccw
pyrH   1129109 1129822 cw
nrfD   1130061 1131026 ccw
nrfC   1131023 1131700 ccw
nrfB   1131697 1132344 ccw
nrfA   1132421 1134037 ccw
hrpa   1134199 1138041 ccw
cydB   1139202 1140338 ccw
cydA   1140353 1141918 ccw
pyrG   1142570 1144207 cw
murZ   1147761 1149035 ccw
sodA   1152846 1153493 ccw
ccmA   1153742 1154380 cw
ccmB   1154385 1155050 cw
ccmC   1155108 1155848 cw
ccmD   1155890 1156093 cw
ccmE   1156090 1156611 cw
ccmF   1156608 1158554 cw
dsbE   1158693 1159238 cw
ccmH   1159238 1159699 cw
ligA   1161551 1163563 ccw
cysZ   1164814 1165632 cw
cysK   1165731 1166681 cw
rfaF   1168737 1169777 ccw
xylR   1169853 1171016 ccw
nhaC   1171128 1172534 ccw
xylH   1173983 1175110 ccw
xylG   1175114 1176625 ccw
xylF   1176676 1177674 ccw
xylA   1177908 1179227 cw
rfaD   1180816 1181742 ccw
deoC   1182409 1183080 cw
comM   1183114 1184643 ccw
engB   1184758 1185375 ccw
lapB   1185468 1186346 cw
oppF   1186386 1187384 ccw
oppD   1187381 1188352 ccw
oppC   1188362 1189297 ccw
oppB   1189307 1190227 ccw
oppA   1190308 1191933 ccw
talB   1192229 1193182 cw
mraW   1196535 1197500 cw
ftsL   1197503 1197826 cw
ftsI   1197839 1199671 cw
murE   1199681 1201147 cw
murF   1201161 1202534 cw
mraY   1202528 1203610 cw
murD   1203733 1205046 cw
ftsW   1205068 1206252 cw
murG   1206264 1207319 cw
murC   1207457 1208884 cw
ddl    1208956 1209876 cw
ftsQ   1209876 1210640 cw
ftsA   1210659 1211936 cw
ftsZ   1212020 1213285 cw
lpxC   1213324 1214241 cw
pheA   1214368 1215525 cw
