aadA   1346596 1347384 1
aarF   4178658 4180298 1
aas    3167872 3170031 -1
aat    1030877 1031581 -1
abc    287023 288054 -1
abrB   794771 795817 -1
accA   273043 274002 1
accB   3550095 3550565 1
accC   3550576 3551925 1
accD   2478690 2479604 -1
aceA   4403672 4404976 1
aceB   4402039 4403640 1
aceE   176240 178903 1
aceF   178918 180807 1
aceK   4405078 4406829 1
ackA   2447939 2449141 1
acnA   1804755 1807430 -1
acnB   185857 188454 1
acpD   1735437 1736042 1
acpP   1280113 1280349 1
acpS   2722062 2722442 -1
acpT   3750673 3751251 1
acrA   532419 533612 -1
acrB   529247 532396 -1
acrD   2593647 2596760 1
acrE   3561104 3562261 1
acrF   3562273 3565386 1
acrR   533754 534407 1
acs    4513714 4515672 -1
ada    2363134 2364195 -1
add    1537496 1538497 -1
adhE   1843128 1845806 1
adhP   1647794 1648804 1
adi    4538697 4540967 -1
adiY   4537638 4538399 -1
adk    546041 546685 1
aefA   534526 537888 1
aegA   2589615 2591576 -1
aer    3382755 3384275 -1
aes    547873 548844 -1
agaR   3421438 3422271 -1
agp    1203700 1204941 1
ahpC   670449 671012 1
ahpF   671254 672819 1
aidB   4619614 4621236 1
ais    2403067 2403672 -1
alaS   2971371 2974001 -1
aldB   3867973 3869511 -1
alkA   2211488 2212357 -1
alkB   2362481 2363131 -1
allA   576003 576485 1
allB   583958 585319 1
allC   588723 589958 -1
allD   589980 591029 -1
allP   582566 583879 1
allR   576564 577382 1
alr    4468038 4469117 1
amiA   2560333 2561202 1
amiB   4600364 4601683 1
amiC   3141356 3142609 -1
amn    2091307 2092761 -1
ampD   169354 169917 1
ampE   169914 170768 1
ampG   498600 500075 -1
ampH   428855 429985 -1
amtB   520894 522180 1
amyA   2051667 2053151 1
ansA   1371798 1372814 -1
ansB   3265481 3266527 -1
ansP   1670649 1672142 1
apaG   102283 102660 -1
apaH   101424 102272 -1
apbA   486780 487691 -1
apbE   2364276 2365328 -1
apeE   627193 629163 1
aphA   4470683 4471396 1
apt    540242 540793 1
araA   118077 119579 -1
araB   119590 121299 -1
araC   121640 122485 1
araD   117241 117936 -1
araE   3175802 3177220 -1
araH   2026132 2026689 -1
araJ   444896 446068 -1
arcA   4855370 4856086 -1
arcB   3490492 3492828 -1
arcC   595118 596011 1
argA   3142842 3144173 1
argB   4340525 4341301 1
argC   4339513 4340517 1
argD   3618456 3619673 -1
argE   4338273 4339424 -1
argG   3458857 3460266 1
argH   4341419 4342795 1
argI   4711747 4712751 -1
argR   3528028 3528498 1
argS   2002597 2004330 1
argT   2465511 2466293 -1
aroA   1062634 1063917 1
aroB   3641082 3642170 -1
aroC   2494541 2495626 -1
aroD   1439617 1440375 -1
aroE   3573266 3574084 -1
aroF   2811475 2812545 -1
aroG   823772 824824 1
aroH   1425398 1426444 -1
aroK   3642227 3642748 -1
aroL   440845 441390 1
aroM   441859 442536 1
aroP   173380 174753 -1
artI   960294 961025 -1
artJ   957935 958666 -1
artM   958903 959571 -1
artP   961043 961771 -1
artQ   959571 960287 -1
asd    3708628 3709734 -1
asmA   2204991 2206847 -1
asnA   4085308 4086300 1
asnB   738939 740603 -1
asnC   4084699 4085157 -1
asnS   1091479 1092879 -1
aspA   4570945 4572381 -1
aspC   1088406 1089596 -1
aspS   1995111 1996883 -1
asrA   2686443 2687486 1
asrB   2687490 2688308 1
asrC   2688319 2689332 1
astA   1383411 1384445 1
astB   1385917 1387260 1
astC   1382194 1383420 1
astD   1384442 1385920 1
astE   1387253 1388221 1
atpA   4076434 4077975 -1
atpB   4079352 4080167 -1
atpC   4073671 4074090 -1
